corpus	fold	at_least_one_is_correct	bert_correct	bert_wrong_some_other_correct	just_hunpos	voting	weighted_voting	total
Eukalyptus	1	0.9679	0.9485	0.0193	0.0018	0.932	0.9485	14841.0
Eukalyptus	2	0.9913	0.9782	0.0131	0.0011	0.9734	0.9782	15205.0
Eukalyptus	3	0.9841	0.9681	0.016	0.0012	0.9601	0.9681	15047.0
Eukalyptus	4	0.9859	0.9693	0.0165	0.0013	0.9639	0.9693	14994.0
Eukalyptus	5	0.9849	0.9663	0.0186	0.0014	0.9573	0.9663	15032.0
TalbankenSBX	1	0.9935	0.9762	0.0173	0.0009	0.9722	0.9762	12208.0
TalbankenSBX	2	0.9921	0.9763	0.0157	0.0011	0.9684	0.9763	12214.0
TalbankenSBX	3	0.9915	0.9781	0.0133	0.0013	0.9697	0.9781	12302.0
TalbankenSBX	4	0.993	0.982	0.011	0.0009	0.9753	0.982	12367.0
TalbankenSBX	5	0.9905	0.9746	0.0159	0.0009	0.9683	0.9746	12546.0
TalbankenUD	1	0.989	0.9704	0.0186	0.0012	0.9615	0.9704	15786.0
TalbankenUD	2	0.9892	0.9744	0.0149	0.0015	0.9653	0.9744	15718.0
TalbankenUD	3	0.99	0.9726	0.0174	0.0008	0.9636	0.9726	15514.0
TalbankenUD	4	0.9891	0.9735	0.0156	0.0013	0.9644	0.9735	15632.0
TalbankenUD	5	0.9886	0.9726	0.0161	0.0013	0.9662	0.9726	15748.0
